dataset,config,policy_mode,selectivity,k,num_queries,visible_ratio,unrestricted_recall,post_filter_recall,authorized_recall,underfill_rate,avg_visible_results,violation_count,violation_rate,utility_gap,affected_query_rate,reference_scope
gist1m,high-acc,skewed_acl,0.5,100,1000,0.50016,0.549,0.269,0.269,1.0,50.016,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,skewed_acl,0.75,1,1000,0.7498400000000001,0.092,0.066,0.073,0.245,0.755,0,0.0,0.006999999999999992,0.245,candidate_level
gist1m,high-acc,skewed_acl,0.75,10,1000,0.7498400000000001,0.254,0.194,0.206,0.943,7.481,0,0.0,0.011999999999999983,0.943,candidate_level
gist1m,high-acc,skewed_acl,0.75,100,1000,0.7498400000000001,0.549,0.417,0.417,1.0,74.984,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,uniform_random,0.1,1,1000,0.09843,0.083,0.01,0.018,0.903,0.097,0,0.0,0.007999999999999998,0.903,candidate_level
gist1m,zk-opt,uniform_random,0.1,10,1000,0.09843,0.194,0.025,0.05,1.0,0.994,0,0.0,0.025,1.0,candidate_level
gist1m,zk-opt,uniform_random,0.1,100,1000,0.09843,0.434,0.052,0.052,1.0,9.843,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,uniform_random,0.25,1,1000,0.24798,0.083,0.016,0.026,0.761,0.239,0,0.0,0.009999999999999998,0.761,candidate_level
gist1m,zk-opt,uniform_random,0.25,10,1000,0.24798,0.194,0.038,0.071,1.0,2.456,0,0.0,0.032999999999999995,1.0,candidate_level
gist1m,zk-opt,uniform_random,0.25,100,1000,0.24798,0.434,0.1,0.1,1.0,24.798,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,uniform_random,0.5,1,1000,0.50446,0.083,0.037,0.045,0.5,0.5,0,0.0,0.008,0.5,candidate_level
gist1m,zk-opt,uniform_random,0.5,10,1000,0.50446,0.194,0.089,0.123,1.0,5.016,0,0.0,0.034,1.0,candidate_level
gist1m,zk-opt,uniform_random,0.5,100,1000,0.50446,0.434,0.213,0.213,1.0,50.446,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,uniform_random,0.75,1,1000,0.75006,0.083,0.064,0.07,0.228,0.772,0,0.0,0.006000000000000005,0.228,candidate_level
gist1m,zk-opt,uniform_random,0.75,10,1000,0.75006,0.194,0.14,0.16,0.945,7.483,0,0.0,0.01999999999999999,0.945,candidate_level
gist1m,zk-opt,uniform_random,0.75,100,1000,0.75006,0.434,0.326,0.326,1.0,75.006,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,clustered_acl,0.1,1,1000,0.10099000000000002,0.083,0.007,0.017,0.9,0.1,0,0.0,0.010000000000000002,0.9,candidate_level
gist1m,zk-opt,clustered_acl,0.1,10,1000,0.10099000000000002,0.194,0.018,0.038,1.0,0.963,0,0.0,0.02,1.0,candidate_level
gist1m,zk-opt,clustered_acl,0.1,100,1000,0.10099000000000002,0.434,0.042,0.042,1.0,10.099,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,clustered_acl,0.25,1,1000,0.25000000000000006,0.083,0.021,0.031,0.762,0.238,0,0.0,0.009999999999999998,0.762,candidate_level
gist1m,zk-opt,clustered_acl,0.25,10,1000,0.25000000000000006,0.194,0.053,0.09,1.0,2.535,0,0.0,0.037,1.0,candidate_level
gist1m,zk-opt,clustered_acl,0.25,100,1000,0.25000000000000006,0.434,0.12,0.12,1.0,25.0,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,clustered_acl,0.5,1,1000,0.4988,0.083,0.046,0.058,0.475,0.525,0,0.0,0.012000000000000004,0.475,candidate_level
gist1m,zk-opt,clustered_acl,0.5,10,1000,0.4988,0.194,0.102,0.135,1.0,5.013,0,0.0,0.033000000000000015,1.0,candidate_level
gist1m,zk-opt,clustered_acl,0.5,100,1000,0.4988,0.434,0.221,0.221,1.0,49.88,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,clustered_acl,0.75,1,1000,0.74893,0.083,0.068,0.075,0.226,0.774,0,0.0,0.006999999999999992,0.226,candidate_level
gist1m,zk-opt,clustered_acl,0.75,10,1000,0.74893,0.194,0.151,0.166,0.946,7.468,0,0.0,0.015000000000000013,0.946,candidate_level
gist1m,zk-opt,clustered_acl,0.75,100,1000,0.74893,0.434,0.327,0.327,1.0,74.893,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,skewed_acl,0.1,1,1000,0.10017000000000001,0.083,0.006,0.017,0.885,0.115,0,0.0,0.011000000000000001,0.885,candidate_level
gist1m,zk-opt,skewed_acl,0.1,10,1000,0.10017000000000001,0.194,0.017,0.043,1.0,0.99,0,0.0,0.025999999999999995,1.0,candidate_level
gist1m,zk-opt,skewed_acl,0.1,100,1000,0.10017000000000001,0.434,0.044,0.044,1.0,10.017,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,skewed_acl,0.25,1,1000,0.25098000000000004,0.083,0.017,0.033,0.754,0.246,0,0.0,0.016,0.754,candidate_level
gist1m,zk-opt,skewed_acl,0.25,10,1000,0.25098000000000004,0.194,0.049,0.084,1.0,2.515,0,0.0,0.035,1.0,candidate_level
gist1m,zk-opt,skewed_acl,0.25,100,1000,0.25098000000000004,0.434,0.112,0.112,1.0,25.098,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,skewed_acl,0.5,1,1000,0.49762,0.083,0.05,0.059,0.482,0.518,0,0.0,0.008999999999999994,0.482,candidate_level
gist1m,zk-opt,skewed_acl,0.5,10,1000,0.49762,0.194,0.104,0.136,1.0,5.065,0,0.0,0.032000000000000015,1.0,candidate_level
gist1m,zk-opt,skewed_acl,0.5,100,1000,0.49762,0.434,0.224,0.224,1.0,49.762,0,0.0,0.0,0.0,candidate_level
gist1m,zk-opt,skewed_acl,0.75,1,1000,0.7494400000000001,0.083,0.063,0.066,0.25,0.75,0,0.0,0.0030000000000000027,0.25,candidate_level
gist1m,zk-opt,skewed_acl,0.75,10,1000,0.7494400000000001,0.194,0.149,0.178,0.945,7.504,0,0.0,0.028999999999999998,0.945,candidate_level
gist1m,zk-opt,skewed_acl,0.75,100,1000,0.7494400000000001,0.434,0.331,0.331,1.0,74.944,0,0.0,0.0,0.0,candidate_level
